Store_ID,Store_Name,City,Locality,Store_Type,Capacity,Latitude,Longitude
BST-060,Ghatkopar East Store,Mumbai,Ghatkopar East,Dark Store,50000,19.086,72.908
BST-061,Kothrud Depot Store,Pune,Kothrud Depot,Dark Store,50000,18.5074,73.8077
BST-062,Viman Nagar Store,Pune,Viman Nagar,Dark Store,50000,18.5679,73.9143
BST-063,Hinjewadi Phase 1 Store,Pune,Hinjewadi Phase 1,Dark Store,50000,18.5913,73.7389
BST-064,Baner High Street Store,Pune,Baner High Street,Dark Store,50000,18.558,73.7915
BST-065,Kalyani Nagar Store,Pune,Kalyani Nagar,Dark Store,50000,18.547,73.903
BST-066,Koregaon Park Road Store,Pune,Koregaon Park Road,Dark Store,50000,18.5362,73.894
BST-067,Hadapsar (Magarpatta) Store,Pune,Hadapsar (Magarpatta),Dark Store,50000,18.513,73.926
BST-068,Aundh Chest Hospital Rd Store,Pune,Aundh Chest Hospital Rd,Dark Store,50000,18.559,73.807
BST-069,Karve Nagar Store,Pune,Karve Nagar,Dark Store,50000,18.49,73.81
BST-070,Pimpri Chowk Store,Pune,Pimpri Chowk,Dark Store,50000,18.627,73.8
BST-071,Gachibowli DLF Store,Hyderabad,Gachibowli DLF,Dark Store,50000,17.4447,78.3498
BST-072,Madhapur (Hitech City) Store,Hyderabad,Madhapur (Hitech City),Dark Store,50000,17.4483,78.3841
BST-073,Jubilee Hills Rd 36 Store,Hyderabad,Jubilee Hills Rd 36,Dark Store,50000,17.4334,78.4062
BST-074,Banjara Hills Rd 12 Store,Hyderabad,Banjara Hills Rd 12,Dark Store,50000,17.414,78.4325
BST-075,Ameerpet Metro Store,Hyderabad,Ameerpet Metro,Dark Store,50000,17.4375,78.4482
BST-076,Kukatpally JNTU Store,Hyderabad,Kukatpally JNTU,Dark Store,50000,17.4938,78.3914
BST-077,Begumpet Rd Store,Hyderabad,Begumpet Rd,Dark Store,50000,17.44,78.46
BST-078,Kondapur Botanical Garden Store,Hyderabad,Kondapur Botanical Garden,Dark Store,50000,17.46,78.36
BST-079,Secunderabad Club Store,Hyderabad,Secunderabad Club,Dark Store,50000,17.4439,78.4897
BST-080,Miyapur X Roads Store,Hyderabad,Miyapur X Roads,Dark Store,50000,17.496,78.349
BST-081,Adyar Depot Store,Chennai,Adyar Depot,Dark Store,50000,13.0063,80.2575
BST-082,Velachery Bypass Rd Store,Chennai,Velachery Bypass Rd,Dark Store,50000,12.9801,80.2228
BST-083,T. Nagar (Pondy Bazaar) Store,Chennai,T. Nagar (Pondy Bazaar),Dark Store,50000,13.0405,80.2337
BST-084,Nungambakkam High Rd Store,Chennai,Nungambakkam High Rd,Dark Store,50000,13.0607,80.2458
BST-085,OMR Karapakkam Store,Chennai,OMR Karapakkam,Dark Store,50000,12.923,80.23
BST-086,Anna Nagar East Store,Chennai,Anna Nagar East,Dark Store,50000,13.085,80.2183
BST-087,Mylapore Tank Store,Chennai,Mylapore Tank,Dark Store,50000,13.033,80.268
BST-088,Tambaram West Store,Chennai,Tambaram West,Dark Store,50000,12.926,80.12
BST-089,Guindy Industrial Estate Store,Chennai,Guindy Industrial Estate,Dark Store,50000,13.01,80.21
BST-090,Sholinganallur Junction Store,Chennai,Sholinganallur Junction,Dark Store,50000,12.9,80.23
BST-091,Salt Lake Sector V Store,Kolkata,Salt Lake Sector V,Dark Store,50000,22.5735,88.4331
BST-092,Park Street Store,Kolkata,Park Street,Dark Store,50000,22.5487,88.3512
BST-093,Gariahat Crossing Store,Kolkata,Gariahat Crossing,Dark Store,50000,22.519,88.3662
BST-094,New Town (Action Area 1) Store,Kolkata,New Town (Action Area 1),Dark Store,50000,22.58,88.47
BST-095,Tollygunge (Tram Depot) Store,Kolkata,Tollygunge (Tram Depot),Dark Store,50000,22.493,88.347
BST-096,Ballygunge Circular Rd Store,Kolkata,Ballygunge Circular Rd,Dark Store,50000,22.531,88.363
BST-097,Behala Chowrasta Store,Kolkata,Behala Chowrasta,Dark Store,50000,22.491,88.318
BST-098,Dum Dum Station Store,Kolkata,Dum Dum Station,Dark Store,50000,22.62,88.4
BST-099,Howrah AC Market Store,Kolkata,Howrah AC Market,Dark Store,50000,22.58,88.33
BST-100,Lake Gardens Store,Kolkata,Lake Gardens,Dark Store,50000,22.508,88.36
